"corpus"	"verbs"	"model"	"topics"	"run"	"perplexity"	"zerotopics"	"average_perplexity"	"var_ppl"	"dev_ppl"
"02-main.dev"	"root"	"verbchain"	500	1	227.30672305086284	230	228.16511245706363	0.5562670375258186	0.7458331164046141
"02-main.dev"	"root"	"verbchain"	500	2	228.53395189512855	235	228.16511245706363	0.5562670375258186	0.7458331164046141
"02-main.dev"	"root"	"verbchain"	500	3	228.65466242519952	232	228.16511245706363	0.5562670375258186	0.7458331164046141
"02-main.dev"	"root"	"verbchain"	1000	1	227.82941069222326	709	227.9644167763654	0.3696123395763462	0.6079575146145874
"02-main.dev"	"root"	"verbchain"	1000	2	227.43531076930145	716	227.9644167763654	0.3696123395763462	0.6079575146145874
"02-main.dev"	"root"	"verbchain"	1000	3	228.6285288675715	710	227.9644167763654	0.3696123395763462	0.6079575146145874
"02-main.dev"	"root"	"verbchain"	2000	1	227.50149321729907	1697	227.94135944568492	0.16036844869418854	0.40046029602719485
"02-main.dev"	"root"	"verbchain"	2000	2	228.0377744456662	1698	227.94135944568492	0.16036844869418854	0.40046029602719485
"02-main.dev"	"root"	"verbchain"	2000	3	228.28481067408947	1701	227.94135944568492	0.16036844869418854	0.40046029602719485
"02-main.dev"	"recursive"	"verbonly"	50	1	301.0216410117231	0	300.7987739331606	0.06940454394887424	0.2634474216022511
"02-main.dev"	"recursive"	"verbonly"	50	2	300.50802992871166	0	300.7987739331606	0.06940454394887424	0.2634474216022511
"02-main.dev"	"recursive"	"verbonly"	50	3	300.86665085904684	0	300.7987739331606	0.06940454394887424	0.2634474216022511
"02-main.dev"	"recursive"	"verbonly"	100	1	297.5773728661067	0	297.9851980103966	0.33070763981233386	0.5750718562165374
"02-main.dev"	"recursive"	"verbonly"	100	2	297.73527511833	0	297.9851980103966	0.33070763981233386	0.5750718562165374
"02-main.dev"	"recursive"	"verbonly"	100	3	298.64294604675297	0	297.9851980103966	0.33070763981233386	0.5750718562165374
"02-main.dev"	"recursive"	"verbonly"	500	1	290.9375953062771	0	290.91949983613637	0.0004151740392031206	0.020375819963945514
"02-main.dev"	"recursive"	"verbonly"	500	2	290.8974294473621	0	290.91949983613637	0.0004151740392031206	0.020375819963945514
"02-main.dev"	"recursive"	"verbonly"	500	3	290.9234747547699	0	290.91949983613637	0.0004151740392031206	0.020375819963945514
"02-main.dev"	"recursive"	"verbonly"	1000	1	288.18118256151286	91	288.4193989481898	0.049594033519716064	0.22269717896667676
"02-main.dev"	"recursive"	"verbonly"	1000	2	288.4546396963624	97	288.4193989481898	0.049594033519716064	0.22269717896667676
"02-main.dev"	"recursive"	"verbonly"	1000	3	288.62237458669415	89	288.4193989481898	0.049594033519716064	0.22269717896667676
"02-main.dev"	"recursive"	"verbonly"	2000	1	287.13877276292334	950	287.593453605719	0.30863283251256707	0.5555473269781496
"02-main.dev"	"recursive"	"verbonly"	2000	2	288.2126892055875	952	287.593453605719	0.30863283251256707	0.5555473269781496
"02-main.dev"	"recursive"	"verbonly"	2000	3	287.4288988486462	941	287.593453605719	0.30863283251256707	0.5555473269781496
"02-main.dev"	"recursive"	"verbargs"	50	1	297.3021150683139	0	297.7851577246793	0.4418846475481767	0.6647440466436512
"02-main.dev"	"recursive"	"verbargs"	50	2	298.54329011705516	0	297.7851577246793	0.4418846475481767	0.6647440466436512
"02-main.dev"	"recursive"	"verbargs"	50	3	297.5100679886689	0	297.7851577246793	0.4418846475481767	0.6647440466436512
"02-main.dev"	"recursive"	"verbargs"	100	1	291.14825719359874	0	292.1260391181038	0.8194479510234098	0.9052336444385006
"02-main.dev"	"recursive"	"verbargs"	100	2	292.93493763043415	0	292.1260391181038	0.8194479510234098	0.9052336444385006
"02-main.dev"	"recursive"	"verbargs"	100	3	292.2949225302784	0	292.1260391181038	0.8194479510234098	0.9052336444385006
